statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
New Mexico,7,80290,46.86,67.62,32.65,47.96,195.09
New Mexico,8,901380,14.98,14.33,40.68,47.59,117.58
New Mexico,9,284410,16.75,0,0,45.56,62.31
New Mexico,10,70960,26.47,30.05,28.62,36.24,121.38
New Mexico,11,10229,45.54,39.62,43.18,35.25,163.59
New Mexico,12,730890,2.37,2.23,15.88,34.09,54.57
New Mexico,13,847150,19.51,12.52,21.91,33.98,87.92
New Mexico,14,851770,11.43,16.52,27.32,33.91,89.18
New Mexico,15,853890,4.41,51.47,90.06,32.45,178.39
New Mexico,16,392490,32.62,38.11,33.15,31.3,135.18
New Mexico,17,590310,23.84,29.01,32.99,29.53,115.37
New Mexico,18,853690,23.46,34.97,52.41,25.65,136.49
New Mexico,19,850440,21.58,30.35,23.41,25.07,100.41
New Mexico,20,381800,24.18,27.69,18.26,24.59,94.72
New Mexico,21,230641,8.19,5.76,13.55,21.69,49.19
New Mexico,22,851762,7.31,14.22,12.2,18.58,52.31
New Mexico,23,854140,53.06,8.23,7.91,17.1,86.3
New Mexico,24,391690,0.09,0.04,0.97,15.61,16.71
New Mexico,25,853710,3.31,8.88,18.32,13.91,44.42
Nevada,0,0,8582.34,7857.49,9594.61,10559.95,36594.39
Nevada,0,25,4481.29,3771.81,5102.46,5916.59,19272.15
Nevada,1,847180,35.76,39.91,960.97,852.67,1889.31
Nevada,2,851712,996.18,547.34,718.77,609.88,2872.17
Nevada,3,854239,1359.01,878.92,439.65,501.54,3179.12
Nevada,4,847330,51.97,85.32,189.93,454.63,781.85
Nevada,5,950430,325.78,318.7,369.45,444.98,1458.91
Nevada,6,847141,155.45,111.1,351.11,396.24,1013.9
Nevada,7,710239,330.53,273.92,500.24,376.12,1480.81
Nevada,8,711319,33.27,6.54,28.13,211.1,279.04
Nevada,9,847150,104.68,195.6,184.09,207.94,692.31
Nevada,10,854231,111.68,94.99,160.86,189.72,557.25
Nevada,11,854140,84.62,339.38,263.43,185,872.43
Nevada,12,880240,31.3,0,64.35,169.26,264.91
Nevada,13,711890,0.07,0,0.7,168.4,169.17
Nevada,14,620342,126.81,131.13,175.95,149.15,583.04
Nevada,15,851770,62.11,61.02,120.8,146.38,390.31
